CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
C38:5 PC	5.8852102	5.9628847	5.933192	5.609568	5.7603634	5.9820772	5.9054391	5.8414757	5.6495685	6.0264643	5.5230843	6.0041957	5.9173991	6.0712712	6.2555082	5.8507157	5.8414248	5.8092084	5.7240783	5.6000489	5.8928741	5.3998948	5.8898015	5.8006041	5.6204956	5.7220532	5.8377754	5.7962923	6.0442304
C38:4 PC	5.8006603	5.8066499	5.9037536	5.7207787	5.4226845	5.9905194	5.8291618	5.8546377	5.8190595	5.7766448	5.6806379	5.9812208	5.8501743	6.036091	6.1760835	5.892926	5.8555998	5.7762376	5.7825345	5.5765224	5.7992813	5.6710825	5.7762972	5.8393931	5.5841665	5.7970713	5.7818781	5.8027255	6.0703901
C38:2 PC	5.9787786	5.707133	6.085238	6.1112055	5.9490116	5.4968061	5.6364029	5.9658417	6.088737	5.8096915	6.0758719	6.0804892	5.7141612	6.5456732	5.8839763	6.2724011	5.9658168	5.5309437	6.3072372	5.5654054	5.5714338	5.7821183	5.6304064	6.2553844	5.7294428	6.1287298	6.1270922	5.8267338	6.0313209
C40:6 PC	5.8381809	5.8609115	5.8449132	5.5890223	5.5516544	5.8999034	5.9547954	5.5385906	5.7593624	5.6398454	5.7509154	6.0953793	6.0086044	6.4157309	6.0862279	5.8968374	5.8205231	5.762772	5.8662413	5.6678659	5.9320421	5.5515714	5.9740032	5.4005748	5.4541113	6.0729149	5.714882	5.781779	6.0762102
C14:0 SM	5.7703057	6.1335942	6.0084673	5.8929913	5.8399365	5.7441573	5.7072658	5.9471674	5.8994381	6.0519102	5.938987	6.0631532	5.933045	6.1446429	5.9724896	5.8181069	5.7982056	6.1441193	5.8677662	5.9981857	5.4064288	5.7634426	5.9939343	5.8463369	6.2494458	5.5796016	5.7142459	5.7109511	5.7673579
C16:1 SM	5.6253432	5.8573278	5.7983724	5.8839763	6.0027839	5.6999143	5.679175	5.9552344	5.8961085	5.906419	5.7980172	5.9362854	5.6513882	6.0532455	5.9892209	6.0143296	5.9305177	5.927122	5.8583896	5.8568032	5.5758157	5.7465582	5.9054897	6.1571148	5.781679	5.5630381	5.6613917	5.9405999	5.7981467
C16:0 SM	5.7321219	6.0578057	5.7339403	5.7383921	5.8713581	5.7278791	5.3355084	5.9472434	5.9002091	5.9402212	5.8902347	5.9229996	5.7650495	6.3445056	6.0241691	5.8515945	5.7269327	5.9051087	5.9067333	5.9487081	5.1829279	5.8839763	5.9701286	5.8380611	6.0712615	5.8929232	5.767096	5.7940544	5.6358373
C18:2 SM	5.6716466	5.8830537	5.907637	6.0900498	5.1847168	5.6849471	5.8646713	6.042323	5.516816	6.1023411	5.9015968	5.8209142	5.4615363	6.0922483	6.1602831	5.973288	5.0326429	6.3571468	6.1404804	5.7548646	5.8213765	5.9488819	6.2638634	6.0015415	5.9551302	6.1167661	5.8643592	5.9600104	5.6700758
C18:1 SM	5.5178247	6.0074095	5.4928858	5.5998013	6.0725159	6.2975888	5.8522197	5.9012356	5.6571514	6.0557625	5.5918367	5.8614058	6.0651439	6.299768	6.2092353	5.801362	5.5770322	5.7530059	5.9400095	6.0419547	5.8693698	5.991575	6.0309131	5.7968154	5.9230749	5.7053846	5.6839911	6.0725965	5.9756509
C18:0 SM	5.3141379	6.1547759	6.0306319	5.3908713	5.8799599	6.4527197	5.4840392	5.8493355	5.5759107	6.3922013	5.6210284	5.8120303	6.0701359	6.7802074	5.9211308	5.6184085	5.4331528	6.2863571	5.7158142	5.8161254	5.4488202	5.6936386	5.9406824	5.4945329	6.4046919	5.872431	5.7550427	5.9737858	5.9042501
C22:1 SM	5.890549	6.1568413	6.1252941	5.8398248	5.673527	5.6969223	5.6726387	5.8475433	5.7980833	5.9288881	5.7641322	5.8042068	5.650439	6.2603413	5.9354718	6.1472649	5.8799603	5.7187167	5.8750277	5.8763537	5.8100971	5.6787794	5.8045863	6.0679523	5.9916824	6.0495609	5.7527115	5.8193194	5.9009416
C22:0 SM	5.9190812	5.8225301	6.1283794	5.9135159	5.4875231	5.5403446	5.6369976	5.9639931	6.0072784	5.7604296	6.0224851	5.7841032	5.5357642	5.8786467	5.8455873	6.0859145	6.0311074	5.7399459	6.0104956	5.7314358	5.7631312	6.0003783	5.7846889	6.1263205	5.785377	5.8556019	5.9774887	5.7979883	5.8712693
