CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
MIMAT0005914	5.910493	5.8855743	6.139551	5.895303	5.994806	5.877499	6.0919113	6.0069714	5.8384476	5.929081	5.9567537	6.0511546	5.8346605	5.9497685	5.8135247	5.953498	6.0550656	6.0148015	5.9825373	5.9889116	5.9181476	6.227279	6.0578833	5.8899603	5.8409667	5.9832215	5.9523335	6.027464	5.9759054
MIMAT0005915	6.3453608	6.1858664	6.3352118	5.985045	6.0912766	6.0785246	6.2343864	6.3921456	6.0101085	6.012792	6.0476694	6.4326253	6.201242	6.1824937	5.7191834	6.5908117	6.374692	6.4452634	6.507795	6.0669503	6.1830893	6.407353	5.951168	6.132577	6.1982975	6.0487595	5.9523335	6.186659	6.44791
MIMAT0005920	6.759955	7.7269673	7.723968	6.380591	6.441616	6.6619205	7.774326	6.4669533	8.647602	6.2729564	7.5301332	6.717128	7.0755324	6.55888	6.7422757	6.8371863	9.210209	7.7880983	7.2959065	6.3833585	6.3923173	7.719115	7.674616	6.9591904	7.2525706	6.5912604	6.625709	6.2955394	6.460415
MIMAT0005922	6.2995744	7.3772974	7.072106	6.1485276	6.3174124	6.436462	6.174926	6.893241	6.4990487	5.793636	7.1001368	6.230741	5.9493012	6.55888	5.9023147	6.021702	6.223809	6.2735157	6.608957	6.7332187	6.6139736	6.319943	6.4591036	6.3400283	6.2267013	6.2988415	6.4581194	6.3300204	6.7011333
MIMAT0005923	5.910493	5.8288345	6.380418	5.800123	5.93121	5.9128895	6.0919113	5.9030385	5.763677	5.7452374	6.0298944	6.023477	5.8931193	6.017031	5.767125	6.0544143	5.9733815	5.7784715	6.0982428	6.028348	5.9988723	5.9646297	5.9875484	5.908813	5.981168	5.8787255	5.926711	6.1485276	6.077029
MIMAT0005796	5.9307375	5.7697716	6.507636	5.871844	5.956986	6.282254	5.933809	6.0851274	5.943921	5.793636	5.9188633	6.1049657	6.07232	6.142822	5.8135247	5.987776	5.9941273	6.2178125	6.0701747	6.1286645	6.2174244	6.1020284	6.0232553	6.050502	5.8409667	5.804776	5.861211	6.1485276	6.0931797
MIMAT0005925	6.0643654	6.0435195	6.7329473	6.006298	6.1485276	5.9128895	6.003602	6.1226726	5.8384476	5.929081	6.082362	6.156437	5.8544946	6.081297	5.7433534	6.2656617	5.9941273	6.255312	6.443607	6.1043367	6.0755324	6.1278396	6.0916996	5.999098	6.139551	5.9832215	6.014132	6.460579	6.3435855
MIMAT0000446	5.869378	6.5439596	6.19101	5.824259	6.019702	5.7652698	6.0919113	6.0268	5.8384476	5.88533	6.0298944	6.023477	5.8544946	5.854993	5.767125	5.882154	6.034964	6.0148015	6.0415497	5.9889116	6.9037614	5.813268	5.969473	5.9271855	5.9128895	5.9832215	5.792335	6.580296	5.958379
MIMAT0005927	11.811551	10.887419	10.076802	10.186028	11.033678	9.564893	10.482616	11.735616	10.927956	10.01349	11.224171	11.1451235	10.552304	10.456262	10.512039	11.147987	10.508855	12.199961	11.335586	10.623772	12.782171	11.321353	11.309892	10.474071	12.675809	9.511831	11.530835	10.817887	11.89961
MIMAT0005938	10.931439	11.181668	11.335384	9.691639	10.913121	10.714314	11.933399	11.333748	11.183188	9.366759	12.057389	10.510902	10.803897	10.534916	11.415024	12.111172	10.004838	12.595829	10.590615	10.333859	12.609596	12.273105	11.656063	11.308197	12.736184	10.460046	11.456586	10.361835	12.287906
